PROVIDER_NUMBER,FYB,FYE,STATUS,CTRL_TYPE,hosp_Name,Street_Addr,Po_Box,City,State,Zip_Code,County
231305,01-JUL-15,30-JUN-16,As Submitted,2,STANDISH COMMUNITY HOSPITAL,805 WEST CEDAR STREET,,STANDISH,MI,48658,ARENAC
231306,01-APR-15,31-MAR-16,Amended,2,MACKINAC STRAITS HEALTH SYSTEM  INC,1140 NORTH STATE STREET,,ST. IGNACE,MI,49781,MACKINAC
231307,01-OCT-15,30-SEP-16,As Submitted,9,BARAGA COUNTY MEMORIAL HOSPITAL,18341 U.S. HIGHWAY 41,,LANSE,MI,49946,BARAGA
231308,01-APR-15,31-MAR-16,Settled,2,MUNISING MEMORIAL HOSPITAL,1500 SAND POINT ROAD,,MUNISING,MI,49682,ALGER
231309,01-JUL-15,30-JUN-16,As Submitted,2,ASPIRUS ONTONAGON HOSPITAL,601 SOUTH SEVENTH STREET,,ONTONAGON,MI,49953,ONTONAGON
231310,01-JUL-15,30-JUN-16,As Submitted,2,SCHEURER HOSPITAL,170 NORTH CASEVILLE ROAD,,PIGEON,MI,48755,HURON
231311,01-JUL-15,30-JUN-16,As Submitted,2,DECKERVILLE COMMUNITY HOSPITAL,3559 PINE STREET,126,DECKERVILLE,MI,48427,SANILAC
231312,01-APR-15,31-MAR-16,As Submitted,2,SHERIDAN COMMUNITY HOSPITAL,301 N MAIN STREET,279,SHERIDAN,MI,48884,MONTCALM
231313,01-JAN-15,31-DEC-15,Settled,2,HARBOR BEACH COMMUNITY HOSPITAL,210 SOUTH FIRST STREET,,HARBOR BEACH,MI,48441-0040,HURON
231314,01-OCT-15,30-SEP-16,As Submitted,2,MCKENZIE MEMORIAL HOSPITAL,120 DELAWARE STREET,,SANDUSKY,MI,48471,SANILAC
231315,01-JUL-15,30-JUN-16,As Submitted,1,BORGESS LEE MEMORIAL HOSPITAL,420 WEST HIGH,,DOWAGIAC,MI,49047,CASS
231316,01-OCT-15,30-SEP-16,As Submitted,2,HILLS & DALES GENERAL HOSPITAL,4675 HILL STREET,,CASS CITY,MI,48726-,TUSCOLA
231317,01-JUL-15,30-JUN-16,As Submitted,2,KELSEY MEMORIAL HOSPITAL,418 WASHINGTON AVENUE,,LAKEVIEW,MI,48850-,MONTCALM
231318,01-JUL-15,30-JUN-16,As Submitted,2,ASPIRUS NORTHSTAR  INC.,1400 WEST ICE LAKE ROAD,,IRON RIVER,MI,49935-,IRON
231319,01-JUL-15,30-JUN-16,As Submitted,2,ASPIRUS KEWEENAW HOSPITAL,205 OCEOLA ST,,LAURIUM,MI,49913-,HOUGHTON
231320,01-JUL-15,30-JUN-16,As Submitted,1,MH-LAKESHORE CAMPUS,72 SOUTH STATE STREET,,SHELBY,MI,49455,OCEANA
231321,01-JUL-15,30-JUN-16,As Submitted,4,BELL MEMORIAL HOSPITAL,901 LAKESHORE DRIVE,,ISHPEMING,MI,49849-2151,MARQUETTE
231322,01-APR-16,30-JUN-16,Amended,2,CHARLEVOIX AREA HOSPITAL,14700 LAKESHORE DRIVE,,CHARLEVOIX,MI,49720,CHARLEVOIX
231323,01-JUL-15,30-JUN-16,As Submitted,2,SPECTRUM HEALTH REED CITY,300 PATTERSON ROAD,,REED CITY,MI,49677-,OSCEOLA
231324,01-JUL-15,30-JUN-16,As Submitted,2,EATON RAPIDS MEDICAL CENTER,1500 S MAIN ST,,EATON RAPIDS,MI,48827,EATON
231325,01-JUL-15,30-JUN-16,As Submitted,2,MIDMICHIGAN MEDICAL CENTER - GLADWIN,515 QUARTER ST.,,GLADWIN,MI,48624,GLADWIN
231326,01-JAN-15,31-DEC-15,As Submitted,2,SPARROW CLINTON HOSPITAL,805 S. OAKLAND,,ST. JOHNS,MI,48879-2253,CLINTON
231327,01-APR-15,31-MAR-16,As Submitted,2,HAYES GREEN BEACH MEMORIAL HOSPITAL,321 EAST HARRIS STREET,,CHARLOTTE,MI,48813,EATON
231328,01-JAN-15,31-DEC-15,As Submitted,2,ALLEGAN GENERAL HOSPITAL,555 LINN STREET,,ALLEGAN,MI,49010,ALLEGAN
231329,01-JAN-15,31-DEC-15,Settled,2,CARO COMMUNITY HOSPITAL,401 N HOOPER ST,435,CARO,MI,48723,TUSCOLA
231330,01-JUL-15,30-JUN-16,As Submitted,2,MARLETTE REGIONAL HOSPITAL,2770 MAIN STREET,307,MARLETTE,MI,48453,SANILAC
231331,01-JAN-15,31-DEC-15,As Submitted,2,SPARROW IONIA HOSPITAL,479 LAFAYETTE,,IONIA,MI,48846,IONIA
231332,01-JAN-15,31-DEC-15,As Submitted,2,BRONSON LAKEVIEW HOSPITAL,408 HAZEN,209,PAW PAW,MI,49079-0209,VAN BUREN
231333,01-JUL-15,30-JUN-16,As Submitted,2,ASPIRUS GRAND VIEW,N10561 GRAND VIEW LANE,,IRONWOOD,MI,49938,GOGEBIC
231334,01-JAN-15,31-DEC-15,As Submitted,2,HERRICK MEDICAL CENTER,500 E. POTTAWATAMIE STREET,,TECUMSEH,MI,49286-,LENAWEE
231335,01-JUL-13,16-DEC-13,Settled w/Audit,9,WESTSHORE MEDICAL CENTER,1465 E. PARKDALE AVE,,MANISTEE,MI,49660,
231336,01-APR-11,04-APR-12,Settled,2,CHEBOYGAN MEMORIAL HOSPITAL,748 SOUTH MAIN,419,CHEBOYGAN,MI,49721-,CHEBOYGAN
231337,01-OCT-15,30-SEP-16,As Submitted,1,ST. FRANCIS HOSPITAL,3410 LUDINGTON STREET,,ESCANABA,MI,49829-0787,DELTA
231338,01-JUL-15,30-JUN-16,As Submitted,2,SPECTRUM HEALTH GERBER,212 S. SULLIVAN,,FREMONT,MI,49412,NEWAYGO
232012,01-FEB-15,31-JAN-16,As Submitted,4,SSH - FLINT  INC,401 SOUTH BALLENGER 5TH FLOOR,,FLINT,MI,48532,GENESEE
232019,01-JUN-15,31-MAY-16,As Submitted,10,VIBRA DETROIT,26400 WEST OUTER DRIVE,,DETROIT,MI,48146,WAYNE
232020,01-OCT-15,30-SEP-16,As Submitted,2,MCLAREN BAY SPECIAL CARE,3250 E. MIDLAND RD,,BAY CITY,MI,48706,BAY
232021,01-JUL-15,30-JUN-16,As Submitted,4,GLS - MUSKEGON,1700 CLINTON STREET 2 SOUTH,,MUSKEGON,MI,49442,MUSKEGON
232023,01-JAN-15,31-DEC-15,As Submitted,4,SSH - MACOMB COUNTY  INC.,215 NORTH AVENUE SUITE 200,,MOUNT CLEMENS,MI,48043,MACOMB
232024,01-MAY-15,30-APR-16,As Submitted,4,SSH - ANN ARBOR,5301 E. HURTON RIVER DR. 7TH FLOOR,,YPSILANTI,MI,48197,WASHTENAW
232025,01-OCT-13,31-MAY-14,Settled,2,LAKELAND SPECIALTY HOSPITAL,6418 DEANS HILL ROAD,,BERRIEN CENTER,MI,49102-,BERRIEN
232026,01-JAN-16,31-DEC-16,As Submitted,4,SSH - GLSH OAK  LLC,310 LAFAYETTE SE,SUITE 302,GRAND RAPIDS,MI,49503-4502,KENT
232027,01-SEP-15,31-AUG-16,As Submitted,4,KINDRED HOSPITAL DETROIT,4777 EAST OUTER DRIVE,,DETROIT,MI,48234,WAYNE
232029,01-JUL-15,30-JUN-16,As Submitted,2,KENT COMMUNITY CAMPUS,750 FULLER NE,,GRAND RAPIDS,MI,49503,KENT
232030,01-FEB-15,31-JAN-16,As Submitted,4,SSH - PONTIAC  INC.,44405 WOODWARD AVENUE 8TH FLOOR,,PONTIAC,MI,48341,OAKLAND
232031,01-MAY-15,30-APR-16,As Submitted,4,SSH - WYANDOTTE,2333 BIDDLE AVE. 8TH FLOOR,,WYANDOTTE,MI,48192-4668,WAYNE
232032,01-SEP-15,31-AUG-16,As Submitted,4,SSH - NORTHWEST DETROIT INC.,6071 W OUTER DR 7TH FLOOR,,DETROIT,MI,48235,WAYNE
232033,01-MAR-15,29-FEB-16,As Submitted,4,SSH -SAGINAW  INC.,1447 NORTH HARRISON STREET,,SAGINAW,MI,48602,SAGINAW
232034,01-JUL-15,30-JUN-16,As Submitted,1,BORGESS-PIPP HEALTH CENTER,411 NAOMI STREET,,PLAINWELL,MI,48080-1222,ALLEGAN
232035,01-JUN-15,31-MAY-16,As Submitted,4,SSH - KALAMAZOO,300 NORTH AVENUE,,BATTLE CREEK,MI,49017,CALHOUN
232036,01-MAR-15,29-FEB-16,Settled,2,HENRY FORD ALLEGIANCE CARELINK,110 NORTH ELM AVENUE,,JACKSON,MI,49202,JACKSON
232037,01-JAN-15,31-DEC-15,Settled,2,SPARROW SPECIALTY HOSPITAL,1210 W. SAGINAW,,LANSING,MI,48915,INGHAM
232038,01-JAN-16,31-DEC-16,As Submitted,4,SSH - GROSSE POINTE,22101 MOROSS ROAD,,DETROIT,MI,48236,WAYNE
232039,01-OCT-15,30-SEP-16,As Submitted,4,PIONEER SPECIALTY HOSPITAL,50 N PERRY STREET SIXTH FLOOR,,PONTIAC,MI,48342-2217,OAKLAND
233025,01-JUL-14,30-DEC-14,As Submitted,2,SOUTHWEST REGIONAL REHAB CENTER,393 E ROOSEVELT AVE,,BATTLE CREEK,MI,49017-3333,CALHOUN
233026,01-APR-15,31-MAR-16,As Submitted,2,MARY FREE BED REHAB HOSPITAL,235 WEALTHY ST. SE,,GRAND RAPIDS,MI,49503-5299,KENT
233027,01-NOV-14,31-OCT-15,Amended,4,REHABILITATION INSTITUTE OF MICHIGAN,261 MACK BLVD,,DETROIT,MI,48201,WAYNE COUNTY
233029,01-JAN-13,01-NOV-13,Settled,4,ROGERS CITY REHABILITATION HOSPITAL,555 N BRADLEY HIGHWAY,,ROGERS CITY,MI,49779,PRESQUE ISLE
233300,01-JAN-15,31-DEC-15,As Submitted,4,CHILDRENS HOSPITAL OF MICHIGAN,3901 BEAUBIEN,,DETROIT,MI,48201,WAYNE
234006,01-JUL-15,30-JUN-16,Amended,2,PINE REST CHRISTIAN HOSPITAL,300 68TH STREET SE,165,GRAND RAPIDS,MI,49501-0165,KENT
234011,01-JAN-15,31-DEC-15,Settled,2,KINGSWOOD HOSPITAL,10300 W EIGHT MILE ROAD,,FERNDALE,MI,48220,OAKLAND
234021,01-JUL-15,30-JUN-16,As Submitted,4,HARBOR OAKS HOSPITAL,35031 23 MILE ROAD,,NEW BALTIMORE,MI,48087,MACOMB
234023,01-JUL-15,30-JUN-16,As Submitted,4,HAVENWYCK HOSPITAL,1525 UNIVERSITY DRIVE,,AUBURN HILLS,MI,48326,OAKLAND
234025,01-OCT-15,30-SEP-16,As Submitted,10,CARO CENTER,2000 CHAMBERS ROAD,,CARO,MI,48723,TUSCOLA
234026,01-OCT-15,30-SEP-16,As Submitted,10,KALAMAZOO PSYCHIATRIC HOSPITAL,1312 OAKLAND DRIVE,,KALAMAZOO,MI,49008,KALAMAZOO
234030,01-JAN-15,31-DEC-15,As Submitted,4,FOREST VIEW HOSPITAL,1055 MEDICAL PARK DRIVE,,GRAND RAPIDS,MI,49546-3671,KENT
234035,01-OCT-15,30-SEP-16,As Submitted,10,WALTER REUTHER PSYCHIATRIC HOSPITAL,30901 PALMER ROAD,,WESTLAND,MI,48186,
234038,01-JAN-15,31-DEC-15,Settled,5,STONECREST,15000 GRATIOT AVE.,,DETROIT,MI,48205,WAYNE
234039,01-JAN-11,11-AUG-11,Settled,4,BEHAVIORAL CENTER OF MICHIGAN,4050 EAST 12 MILE ROAD,,WARREN,MI,48092-,MACOMB
234040,01-JAN-15,31-DEC-15,Settled,2,SAMARITAN BEHAVIORAL CENTER,5555 CONNER AVENUE,,DETROIT,MI,48213-3448,WAYNE
234041,01-OCT-15,30-SEP-16,As Submitted,10,CENTER FOR FORENSIC PHYCHIATRY,1500 MEDICAL CENTER DRIVE,P.O. BOX 2060,ANN ARBOR,MI,48106,WASHTENAW
234042,01-JAN-15,31-DEC-15,As Submitted,4,BEHAVIORAL CENTER OF MICHIGAN,4050 EAST 12 MILE RD.,,WARREN,MI,48092,MACOMB
240001,01-JAN-15,31-DEC-15,As Submitted,2,NORTH MEMORIAL HEALTH CARE,3300 OAKDAVE AVENUE NORTH,,ROBBINSDALE,MN,55422-2926,HENNEPIN
240002,01-JUL-15,30-JUN-16,As Submitted,2,ST. MARYS MEDICAL CENTER,407 EAST THIRD STREET,,DULUTH,MN,55805-,ST. LOUIS
240004,01-JAN-15,31-DEC-15,As Submitted,9,HENNEPIN COUNTY MEDICAL CENTER,701 PARK AVE P-1,,MINNEAPOLIS,MN,55415-1829,HENNEPIN
240006,01-JAN-15,31-DEC-15,As Submitted,2,OLMSTED MEDICAL CENTER,1650 FOURTH STREET,,ROCHESTER,MN,55904-,OLMSTED
240010,01-JAN-15,31-DEC-15,As Submitted,12,MAYO CLINIC HOSPITAL ROCHESTER,1216 SECOND STREET SW,,ROCHESTER,MN,55905,OLMSTED
240014,01-JAN-15,31-DEC-15,As Submitted,8,NORTHFIELD CITY HOSPITAL,2000 NORTH AVENUE,,NORTHFIELD,MN,55057-1697,DAKOTA
240018,01-JAN-15,31-DEC-15,As Submitted,2,MAYO CLINIC HEALTH SYSTEM - RED WING,701 HEWITT BLVD,95,RED WING,MN,55066-0095,GOODHUE
240019,01-JUL-15,30-JUN-16,As Submitted,2,SMDC MEDICAL CENTER,502 EAST 2ND STREET,,DULUTH,MN,55805,ST. LOUIS
240020,01-JAN-15,31-DEC-15,As Submitted,2,CAMBRIDGE MEDICAL CENTER,701 SOUTH DELLWOOD,,CAMBRIDGE,MN,55008-,ISANTI
240022,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD REGIONAL HOSPITAL WORTHINGTO,1018 SIXTH STREET,,WORTHINGTON,MN,56187-,NOBLES
240030,01-JAN-15,31-DEC-15,As Submitted,9,DOUGLAS COUNTY HOSPITAL,111 17TH AVENUE E,,ALEXANDRIA,MN,56308-3798,DOUGLAS
240036,01-JUL-15,30-JUN-16,As Submitted,2,ST. CLOUD HOSPITAL,1406 6TH AVENUE NORTH,,ST. CLOUD,MN,56303,STEARNS
240038,01-JAN-15,31-DEC-15,As Submitted,2,UNITED HOSPITAL,333 SMITH AVENUE NORTH,,SAINT PAUL,MN,55102,RAMSEY
240040,01-JAN-15,31-DEC-15,As Submitted,2,RANGE REGIONAL HEALTH SERVICES,750 EAST 34TH STREET,,HIBBING,MN,55746-,ST. LOUIS
240043,01-JAN-15,31-DEC-15,As Submitted,2,MAYO CLNIC HLTH SYS-ALBRT LEA AUSTIN,1000 1ST DRIVE NW,,AUSTIN,MN,55912,MOWER
240044,01-OCT-15,30-SEP-16,As Submitted,2,WINONA HEALTH SERVICES,855 MANKATO AVE,5600,WINONA,MN,55987-0600,WINONA
240047,01-JAN-15,31-DEC-15,As Submitted,2,ST. LUKES HOSPITAL OF DULUTH,915 EAST FIRST STREET,,DULUTH,MN,55805-,ST. LOUIS
240050,01-JAN-15,31-DEC-15,As Submitted,1,FAIRVIEW LAKES REGIONAL MEDICAL CTR,5200 FAIRVIEW BOULEVARD,,WYOMING,MN,55092-8013,CHISAGO
240052,01-OCT-15,30-SEP-16,As Submitted,2,LAKE REGION HEALTHCARE,712 SOUTH CASCADE STREET,728,FERGUS FALLS,MN,56538-0728,OTTER TAIL
240053,01-JAN-15,31-DEC-15,As Submitted,2,PARK NICOLLET METHODIST HOSPITAL,6500 EXCELSIOR BLVD,650,ST. LOUIS PARK,MN,55426-4702,HENNEPIN
240056,01-JAN-15,31-DEC-15,As Submitted,2,RIDGEVIEW MEDICAL CENTER,500 SOUTH MAPLE STREET,,WACONIA,MN,55387,CARVER
240057,01-JAN-15,31-DEC-15,As Submitted,2,ABBOTT NORTHWESTERN HOSPITAL,800 EAST 28TH STREET,,MINNEAPOLIS,MN,55407,HENNEPIN
240059,01-JAN-15,31-DEC-15,As Submitted,2,REGINA HOSPITAL,1175  NININGER ROAD,,HASTINGS,MN,55033-,DAKOTA
240061,01-JAN-13,31-DEC-13,Settled,2,MAYO CLINIC METHODIST HOSPITAL,201 WEST CENTER STREET,,ROCHESTER,MN,55902-,OLMSTED
240063,01-SEP-15,31-AUG-16,As Submitted,2,HEALTHEAST ST JOSEPHS HOSPITAL,45 WEST 10TH STREET,,ST PAUL,MN,55102,RAMSEY
240064,01-JAN-15,31-DEC-15,As Submitted,2,GRAND ITASCA CLINIC AND HOSPITAL,1601 GOLF COURSE ROAD,,GRAND RAPIDS,MN,55744-3698,ITASCA
240066,01-JAN-15,31-DEC-15,As Submitted,2,LAKEVIEW MEMORIAL,927 WEST CHURCHILL STREET,,STILLWATER,MN,55082,WASHINGTON
240069,01-JAN-15,31-DEC-15,As Submitted,2,OWATONNA HOSPITAL,2250 NW 26TH STREET,,OWATONNA,MN,55060,STEELE
240071,01-JAN-15,31-DEC-15,Amended,2,DISTRICT ONE HOSPITAL,200 STATE AVENUE,,FARIBAULT,MN,55021-,RICE
240075,01-JUL-15,30-JUN-16,As Submitted,1,ST. JOSEPHS MEDICAL CENTER,523 NORTH THIRD STREET,,BRAINERD,MN,56401-,CROW WING
240076,01-JAN-15,31-DEC-15,As Submitted,2,BUFFALO HOSPITAL,303 CATLIN STREET,,BUFFALO,MN,55313,WRIGHT
240078,01-JAN-15,31-DEC-15,As Submitted,1,FAIRVIEW SOUTHDALE HOSPITAL,6401 FRANCE AVENUE,,EDINA,MN,55435-,HENNEPIN
240080,01-JAN-15,31-DEC-15,As Submitted,1,UNIVERSITY OF MINNESOTA MEDICAL CTR,2450 RIVERSIDE AVENUE,,MINNEAPOLIS,MN,55426,HENNEPIN
240084,01-JUL-15,30-JUN-16,As Submitted,2,ESSENTIA HEALTH VIRGINIA,901 9TH STREET NORTH,,VIRGINIA,MN,55792-2398,ST. LOUIS
240088,01-JAN-15,31-DEC-15,As Submitted,12,RICE MEMORIAL HOSPITAL,301 BECKER AVENUE SW,,WILLMAR,MN,56201-,KANDIYOHI
240093,01-JAN-15,31-DEC-15,As Submitted,2,MAYO CLINIC HEALTH SYSTEM MANKATKO,1025 MARSH STREET,8673,MANKATO,MN,56002-8673,BLUE EARTH
240100,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD BEMIDJI,1300 ANNE STREET NW,,BEMIDJI,MN,56601,BELTRAMI
240101,01-JUL-15,30-JUN-16,As Submitted,1,ST. MARYS REGIONAL HEALTH CENTER,1027 WASHINGTON AVENUE,,DETROIT LAKES,MN,56501-,BECKER
240104,01-JAN-15,31-DEC-15,As Submitted,2,ST. FRANCIS REGIONAL MEDICAL CENTER,1455 ST. FRANCIS AVENUE,,SHAKOPEE,MN,55379-,SCOTT
240106,01-JAN-15,31-DEC-15,As Submitted,2,REGIONS HOSPITAL,640 N JACKSON STREET,,ST PAUL,MN,55101,RAMSEY
240115,01-JAN-15,31-DEC-15,As Submitted,2,MERCY HOSPITAL,4050 COON RAPIDS BLVD,,COON RAPIDS,MN,55433-,ANOKA
240117,01-JAN-13,30-JUN-13,As Submitted,2,MAYO CLINIC HEALTH SYSTEM AUSTIN,1000 1ST DRIVE NW,,AUSTIN,MN,55912,MOWER
240132,01-JAN-15,31-DEC-15,As Submitted,2,UNITY HOSPITAL,550 OSBORNE ROAD,,FRIDLEY,MN,55432-,ANOKA
240141,01-JAN-15,31-DEC-15,Amended,1,FAIRVIEW NORTHLAND REG,911 NORTHLAND DR,,PRINCETON,MN,55371-,SHERBURNE
240166,01-JAN-15,31-DEC-15,As Submitted,2,MAYO CLINIC HEALTH SYSTEM-FAIRMONT,835 JOHNSON STREET,,FAIRMONT,MN,56031-,MARTIN
240187,01-JAN-15,31-DEC-15,As Submitted,8,HUTCHINSON HEALTH CARE,1095 HIGHWAY 15 SOUTH,,HUTCHINSON,MN,55350-,MCLEOD
240196,01-JAN-15,31-DEC-15,Amended,2,PHILLIPS EYE INSTITUTE,2215 PARK AVENUE,,MINNEAPOLIS,MN,55404-,HENNEPIN
240206,01-OCT-14,30-SEP-15,As Submitted,7,RED LAKE INDIAN HOSPITAL,24760 HOSPITAL DRIVE,497,RED LAKE,MN,56671,CLEARWATER
240207,01-JAN-15,31-DEC-15,As Submitted,1,FAIRVIEW RIDGES HOSPITAL,201 E NICOLLET BLVD,,BURNSVILLE,MN,55337-,DAKOTA
240210,01-SEP-15,31-AUG-16,As Submitted,2,HEALTHEAST ST JOHNS HOSPITAL,1575 BEAM AVENUE,,MAPLEWOOD,MN,55109,RAMSEY
240213,01-SEP-15,31-AUG-16,As Submitted,2,HEALTHEAST WOODWINDS HOSPITAL,1925 WOODWINDS DR,,WOODBURY,MN,55125,WASHINGTON
240214,01-JAN-15,31-DEC-15,As Submitted,2,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,,MAPLE GROVE,MN,55369-,HENNEPIN
241300,01-JAN-15,31-DEC-15,As Submitted,2,MAHNOMEN HEALTH CENTER,414 JEFFERSON,396,MAHNOMEN,MN,56557,MAHNOMEN
241301,01-JUL-15,30-JUN-16,As Submitted,1,LAKEWOOD HEALTH CENTER,600 MAIN AVENUE S,,BAUDETTE,MN,56623,LAKE OF THE WOODS
241302,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD MEDICAL CENTER WESTBROOK,920 BELL AVENUE,,WESTBROOK,MN,56183-,COTTONWOOD
241303,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD HOSPITAL TRACY,251 FIFTH STREET EAST,,TRACY,MN,56175-,LYON
241304,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD MEDICAL CENTER WHEATON,401 12TH STREET NORTH,,WHEATON,MN,56296-,TRAVERSE
241305,01-OCT-15,30-SEP-16,As Submitted,1,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,,AITKIN,MN,56431-1697,AITKIN
241306,01-JAN-15,31-DEC-15,Amended,9,RENVILLE COUNTY HOSPITAL AND CLINICS,100 HEALTH WAY,,OLIVIA,MN,56277-1397,RENVILLE
241308,01-JAN-15,31-DEC-15,As Submitted,2,LAKE VIEW MEMORIAL HOSPITAL,11TH AVENUE & 4TH STREET,,TWO HARBORS,MN,55616-1298,LAKE
241309,01-JUL-15,30-JUN-16,As Submitted,2,PINE MEDICAL CENTER,109 COURT AVENUE SOUTH,140,SANDSTONE,MN,55072,PINE
241311,01-JAN-15,31-DEC-15,As Submitted,2,SIBLEY MEDICAL CENTER,601 WEST CHANDLER,620,ARLINGTON,MN,55307-,SIBLEY
241312,01-JAN-15,31-DEC-15,As Submitted,11,COOK HOSPITAL,10 SOUTH 5TH STREET,,COOK,MN,55723-9745,ST. LOUIS
241313,01-JUL-15,30-JUN-16,As Submitted,2,BRIDGES MEDICAL CENTER,201 9TH STREET WEST,,ADA,MN,56510-,NORMAN
241314,01-OCT-15,30-SEP-16,As Submitted,10,JOHNSON MEMORIAL HOSPITAL,1282 WALNUT STREET,1022,DAWSON,MN,56232-,LAC QUI PARLE
241315,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD MEDICAL CENTER JACKSON,1430 NORTH HIGHWAY,,JACKSON,MN,56143-,JACKSON
241316,01-JAN-15,31-DEC-15,As Submitted,11,NORTHERN ITASCA HOSPITAL DISTRICT,258 PINE TREE DRIVE,,BIGFORK,MN,56628-0258,ITASCA
241317,01-JAN-15,31-DEC-15,As Submitted,11,COOK COUNTY NORTH SHORE HOSPITAL,515 5TH AVE W,,GRAND MARAIS,MN,55604-0010,COOK
241318,01-OCT-15,30-SEP-16,As Submitted,2,ELY-BLOOMENSON COMMUNITY HOSPITAL,328 WEST CONAN,,ELY,MN,55731-1198,ST. LOUIS
241319,01-JAN-15,31-DEC-15,As Submitted,8,MURRAY COUNTY MEMORIAL HOSPITAL,2042 JUNIPER AVE,,SLAYTON,MN,56172,MURRAY
241320,01-OCT-15,30-SEP-16,As Submitted,2,RIVERVIEW HEALTHCARE ASSOCIATION,123 SOUTH MINNESOTA,,CROOKSTON,MN,56716-,POLK
241321,01-JUL-15,30-JUN-16,As Submitted,2,GRACEVILLE HEALTH CENTER,115 WEST SECOND STREET,157,GRACEVILLE,MN,56240-0157,BIG STONE
241322,01-JAN-15,31-DEC-15,As Submitted,2,INTL FALLS MEMORIAL HOSPITAL,1400 HIGHWAY 71,,INTERNATIONAL FALLS,MN,56649-3525,KOOCHICHING
241323,01-JUN-15,31-MAY-16,As Submitted,2,MADELIA COMMUNITY HOSPITAL,121 DREW AVE SE,,MADELIA,MN,56062-,WATONWAN
241325,01-JAN-15,31-DEC-15,As Submitted,8,CHIPPEWA COUNTY-MONTEVIDEO HOSPITAL,824 NORTH 11TH STREET,,MONTEVIDEO,MN,56265-,CHIPPEWA
241326,01-JUL-15,30-JUN-16,As Submitted,2,LONG PRAIRIE MEMORIAL HOSPITAL,20 NINTH STREET SE,,LONG PRAIRIE,MN,56347,TODD
241327,01-JAN-15,31-DEC-15,As Submitted,13,SLEEPY EYE MUNICIPAL HOSPITAL,400 FOURTH AVENUE NORTHWEST,,SLEEPY EYE,MN,56085,BROWN
241328,01-JUL-15,30-JUN-16,As Submitted,2,SANFORD BAGLEY MEDICAL CENTER,203 4TH STREET NW,,BAGLEY,MN,56621,CLEARWATER
241329,01-JAN-15,31-DEC-15,Amended,2,LAKEWOOD HEALTH SYSTEM,49725 COUNTY 83,,STAPLES,MN,56479,TODD
241330,01-JUL-15,30-JUN-16,As Submitted,2,MELROSE AREA HOSPITAL CENTRACARE,11 NORTH 5TH AVENUE WEST,,MELROSE,MN,56352,STEARNS
241331,01-JUL-15,31-DEC-15,As Submitted,2,ALBANY AREA HOSPITAL,300 THIRD AVENUE,,ALBANY,MN,56307,STEARNS
241332,01-MAY-15,30-APR-16,As Submitted,12,WINDOM AREA HOSPITAL,HIGHWAYS 60 AND 71 NORTH,339,WINDOM,MN,56101,COTTONWOOD
241333,01-JAN-15,31-DEC-15,As Submitted,2,MAYO CLINIC HEALTH SYS - ST. JAMES,1101 MOULTON & PARSONS DRIVE,,ST. JAMES,MN,56081,WATONWAN
241334,01-JAN-15,31-DEC-15,As Submitted,8,RIVERS EDGE HOSPITAL AND CLINIC,1900 N SUNRISE DRIVE,,ST. PETER,MN,56082-,NICOLLET
241335,01-JUL-15,30-JUN-16,Amended,1,ST. ELIZABETH HOSP. OF WABASHA  INC.,1200 FIFTH GRANT BLVD WEST,,WABASHA,MN,55981-,WABASHA
241336,01-OCT-15,30-SEP-16,As Submitted,2,KITTSON MEMORIAL HOSPITAL,1010 SOUTH BIRCH,700,HALLOCK,MN,56728-,KITTSON
241337,01-JAN-15,31-DEC-15,As Submitted,2,NORTH VALLEY HEALTH CENTER,300 WEST GOOD SAMARITAN DRIVE,,WARREN,MN,56762,MARSHALL
241338,01-JAN-15,31-DEC-15,As Submitted,13,MAYO CLNIC HEALTH SYSTEM - LAKE CITY,500 WEST GRANT ST,,LAKE CITY,MN,55041,GOODHUE
241339,01-JUL-15,30-JUN-16,As Submitted,2,HENDRICKS COMMUNITY HOSPITAL ASSOC,503 EAST LINCOLN STREET,106,HENDRICKS,MN,56136-,LINCOLN
241340,01-JUL-15,30-JUN-16,As Submitted,2,NORTHERN PINES MEDICAL CENTER,5211 HIGHWAY 110,,AURORA,MN,55705-8714,ST. LOUIS
241341,01-OCT-15,30-SEP-16,As Submitted,8,APPLETON MUNICIPAL HOSPITAL,30 SOUTH BEHL STREET,,APPLETON,MN,56208,SWIFT
241342,01-OCT-15,30-SEP-16,As Submitted,8,ORTONVILLE AREA HEALTH SERVICES,450 EASTVOLD AVENUE,,ORTONVILLE,MN,56278-,BIG STONE
241343,01-JAN-15,31-DEC-15,As Submitted,8,GRANITE FALLS HOSPITAL,345 TENTH AVENUE,,GRANITE FALLS,MN,56241-,YELLOW MEDICINE
241344,01-OCT-14,30-SEP-15,As Submitted,2,LIFECARE MEDICAL CENTER,715 DELMORE DRIVE,,ROSEAU,MN,56751-,ROSEAU
